Temperature,pH,ECConductivity,Kmgl,Namgl,Boronmgl,SiO2mgl,Clmgl
40.5,6.1,1500,3.6,45,0,43,16
38.2,7.4,1772,84,51,0,43,25
51,9.05,1300,5.5,265,2.7,38,71
58,8.8,1160,4.2,227,1.4,50,62
78,8.5,2000,21,430,7.1,132,265
60,9,1440,3.8,230,2,56,845
34,8.7,1000,0.8,2.6,0.5,30,59
27,7.2,960,4.4,40,0.15,19,33
28.8,7.5,580,4.6,23,0.2,34,13
33,7.6,350,0.8,10,0.5,12,9.6
82.5,6.9,1349,17.8,198,1.8,37.5,7.5
79,7.3,816,18,194,1.9,40,7.5
43.6,7.1,558,5.3,35.8,0,33,7.2
40,7.62,1450,4.33,23.5,0,42.2,14
45,6.8,1900,72,440,1.7,96,62
37,7,1215,14.7,168,1.9,86.5,9.2
37,7.1,582,3.7,25,0.2,33.6,2.8
44,7,557,3.8,23,0.3,36.2,2.8
41,7.1,568,4.1,24.2,0.2,34.3,2.6
27,6.9,400,2,20,0,11,5
45.5,7.4,490,3.2,24,0,37,9.3
64.5,7.1,1500,6.8,220,0,72,29
40,6.68,1250,3.2,15,0,32,10
52,8.1,700,4,110,0.7,51,19
42,7.2,800,2,134,0.2,49,27
67,8.3,1700,5,320,1.3,37.5,81
47,8.1,3300,24,550,5,22.5,234
32,7.4,1900,15,590,0,14,93
60,7.9,3700,64,530,0,210,90
35.6,6.85,4870,94,865,17,270,95
34.2,7.91,3680,114,870,11,155,85
67.1,6.86,3000,86,686,16,259,78
53.4,6.53,3980,75,586,10,154,73
37.1,6.42,4730,50,535,9,170,134
23.4,6.18,3850,65,583,8.6,132,145
47.4,6.6,4120,75,564,10,184,98
72,7.7,3800,99,984,20,160,97
55.5,6.45,4401,73,564,13,375,87
40.8,5.8,1950,42,260,3.2,100,34
57,6.3,2700,56,540,7.5,160,90
55,6.25,2880,21,120,2.2,55,29
59,7.7,2500,22,130,2.7,43,34
34.5,6.15,2340,48,38,0.9,55,15
65,6.2,3120,113,860,9.2,136,93
62,8.1,1388,41.3,239,8.5,100,142
86,7.58,10330,155,1810,9.4,49,3150
42,9.1,2590,33,575,9,85,98
70,8.65,2360,11,310,0.4,80,43
35,8.9,3600,5.4,375,1,51,37
48,6.7,970,9,240,0.7,58,18
64,8.4,1650,46,520,8.9,62,71
53,8,1755,48,560,7.4,64,71
38,8.4,1770,48,540,8.7,40,76
73,7,2260,65,503,13.6,53,62
40,7.1,1880,8,98,7.6,30,31
50,7.6,907,24,198,16,72,37
27,8,1558,13,240,17.4,27,58
51,7.2,3800,106,1020,11,150,127
37,7.88,1400,19,148,0.7,68,38
